c2_x_t,c3_x_t,c4_x_t
-0.015495933945498827,-0.2911411873335657,0.3510445951303203
-0.07422334787471714,-0.3690448617017494,0.26966636327507615
-0.23451779390294497,-0.3964825477044361,0.2199071689431515
-0.15186392331641416,-0.44342019298350205,0.19228546036600394
-0.10633189905156985,-0.27148445251703157,0.298904685816901
-0.200399132819829,-0.37327646230080624,0.1956591211722122
-0.09015487342069185,-0.38263273610667975,0.18166508582949534
-0.03807387867195335,-0.30668426286997674,0.3383500734624101
-0.13829961093532697,-0.23300662043850504,0.2969456678220501
-0.08521313384567766,-0.2926059765229623,0.2568362035008873
-0.08870495056591639,-0.2769957289223136,0.27555257231026103
-0.04752181846665753,-0.29730324595809143,0.27862108236406996
-0.007123595133678051,-0.27827233221176895,0.37096229621173676
-0.12114873801731929,-0.3318481368139345,0.273738687734883
-0.19100861099246216,-0.3274930203609715,0.23849369371890444
-0.16991331777261867,-0.33556322956427875,0.24381421717781593
-0.1734151370251762,-0.37929967064695286,0.2288437890628915
-0.0978326961951698,-0.3038689074602146,0.3189297915977347
-0.12519899123897535,-0.39706256746574564,0.2537378892661051
-0.06730455572067323,-0.18762901257086306,0.3824610413389026
-0.11250344787500018,-0.37989010338389956,0.18480314978657883
0.12095185575993878,-0.11421609992200535,0.46997552241016477
-0.21720898103474914,-0.3795647239873275,0.23152077367504115
-0.269444920901347,-0.40399150486404817,0.2394111797481553
-0.20513665144049895,-0.46873095691776895,0.22153600073385593
-0.10591002728791638,-0.2783134151492432,0.35169235210970295
-0.054536031084408174,-0.2260253312550862,0.326726939065534
-0.09967941218011885,-0.36920546927891706,0.26228903316894236
-0.14163295018725935,-0.3406124869278154,0.17270849347002948
0.004599906413323668,-0.2617726043348941,0.3481109035699628
-0.14221057870047005,-0.323689933556747,0.2613617435771183
-0.2129186314542004,-0.4619576165072542,0.15637312836082767
-0.1305016082181173,-0.3955136036311997,0.22126593962199406
-0.27437104412658203,-0.4045421222315695,0.16952704284685485
-0.09193997612306377,-0.24840619259510233,0.3683159724221952
-0.033341152726911634,-0.22892883168887837,0.34645747142672384
-0.10910333819468103,-0.3315360563458483,0.24895452644375896
-0.12524207286831415,-0.3261553630067005,0.28847288673031857
0.07313985452787176,-0.2158505523493813,0.37941001231700183
-0.022688992688174484,-0.3280126338803234,0.32899830629165905
0.027391030765922614,-0.24942388035290722,0.42312355580721644
-0.1047572641215628,-0.45169828842483184,0.2089492591020375
-0.11038955399622878,-0.2943704630866886,0.2401441120165608
-0.0018325774251252475,-0.29720969395174185,0.32340373363564684
-0.055051469773458775,-0.2621543398872267,0.3454664485034323
-0.03875205272459811,-0.25102768599546543,0.31195187171594785
-0.20110042869303071,-0.5098197058392442,0.08640241106965373
-0.09262200730319037,-0.279330386783171,0.34339103167054114
-0.10399400856147827,-0.3186672950092865,0.2402475654194131
-0.045555044877048805,-0.27243473407718727,0.3195138885621555
-0.1953165346666715,-0.37811804201505583,0.19168722689719153
-0.0037794623439247835,-0.3091233800508552,0.29482685520004687
-0.0036636337042003607,-0.31629144556920025,0.3120209382439188
-0.059997951116748924,-0.32878158575028954,0.2791094628962804
-0.09377834946963619,-0.24742095081242865,0.3670651277608381
