outcome,model,fold,auc,ap,brier
high_risk_trajectory_C1C4,GradientBoosting,4,0.6339712918660287,0.6082559948175966,0.24607536184555692
high_risk_trajectory_C1C4,LightGBM,0,0.6415589347049381,0.603939901490204,0.26847453690176093
high_risk_trajectory_C1C4,LightGBM,1,0.6501282851397268,0.6130185639398333,0.26419619190268134
high_risk_trajectory_C1C4,LightGBM,2,0.637767838568754,0.6049042666554473,0.2646393163783441
high_risk_trajectory_C1C4,LightGBM,3,0.6359995839400874,0.6103527579298035,0.2638555746165074
high_risk_trajectory_C1C4,LightGBM,4,0.6026454476111227,0.5865591449952567,0.2866103260099987
high_risk_trajectory_C1C4,XGBoost,0,0.643768231009545,0.6192349775810959,0.24227630285819765
high_risk_trajectory_C1C4,XGBoost,1,0.6563518479994452,0.6343241797950984,0.2375011461107882
high_risk_trajectory_C1C4,XGBoost,2,0.6442514388738645,0.6210199595566555,0.24060944115750427
high_risk_trajectory_C1C4,XGBoost,3,0.6507870466680535,0.6109051791100912,0.23690185546243417
high_risk_trajectory_C1C4,XGBoost,4,0.6243152347271341,0.5938614902659365,0.25205362273107323
