lval,op,rval,Estimate,Std. Err,z-value,p-value
wx2,~~,wx2,0.31748960497258755,0.009803725888457463,32.384586080074236,0.0
wx3,~~,wy3,0.013276753472972249,0.01689011936273807,0.7860662904180848,0.4318286518250989
wx3,~~,wx3,0.7828449332404986,0.02345561992671824,33.37558059232475,0.0
wx4,~~,wy4,0.002576023635149592,0.007116049323489323,0.3620019364234041,0.7173505833883149
wx4,~~,wx4,0.13750810715674905,0.004744448854241212,28.982946460650172,0.0
wx5,~~,wy5,0.06282555042304534,0.008517368584766857,7.376169035120942,1.6298074001497298e-13
wx5,~~,wx5,0.10603551107575458,0.0038522190051343418,27.525826259333066,0.0
wx6,~~,wy6,0.008718233487456007,0.005926531573883124,1.4710515547414318,0.14127717503206005
wx6,~~,wx6,0.1192028997665258,0.004138386068071365,28.804199940986745,0.0
wx7,~~,wy7,0.006998348333449167,0.009507495665120573,0.736087459748984,0.461677473910576
wx7,~~,wx7,0.3696365532568089,0.011277664812195111,32.77598327131749,0.0
RIy,~~,RIy,0.7157957469670795,0.7951306196555337,0.9002241006342784,0.3680010029739429
RIy,~~,wy1,-0.06570196722376953,0.7213878378263301,-0.09107717621307586,0.9274312679994636
wx1,~~,wx1,0.3905192123383356,0.013257922315038384,29.455536322302656,0.0
wx1,~~,RIx,-0.05405811206192238,0.006625872037131861,-8.158641119360322,4.440892098500626e-16
wx1,~~,RIy,0.13006755619268603,0.04327714164031862,3.00545625842592,0.0026518273473721266
wx1,~~,wy1,0.046571814176390745,0.04201134376157462,1.1085533097819826,0.26762292950382083
wy1,~~,wy1,0.7745121814131882,0.6545218402477498,1.1833251906748234,0.23668029296363846
wy2,~~,wy2,0.8166934948733193,0.027427746908893418,29.776178756364825,0.0
wy3,~~,wy3,0.8113059140810154,0.02724275730664789,29.780609389830616,0.0
wy4,~~,wy4,0.6410506673603136,0.022927281732234083,27.960168798863016,0.0
wy5,~~,wy5,1.1572865844036562,0.03628053589447372,31.898277019332472,0.0
wy6,~~,wy6,0.5366451066091609,0.020329172932746536,26.397783537879555,0.0
wy7,~~,wy7,0.5352363227421493,0.020166488856568205,26.540878113310363,0.0
X1,~~,X1,0.0,-,-,-
X2,~~,X2,0.0,-,-,-
X3,~~,X3,0.0,-,-,-
X4,~~,X4,0.0,-,-,-
X5,~~,X5,0.0,-,-,-
X6,~~,X6,0.0,-,-,-
X7,~~,X7,0.0,-,-,-
Y1,~~,Y1,0.0,-,-,-
Y2,~~,Y2,0.0,-,-,-
Y3,~~,Y3,0.0,-,-,-
Y4,~~,Y4,0.0,-,-,-
Y5,~~,Y5,0.0,-,-,-
Y6,~~,Y6,0.0,-,-,-
Y7,~~,Y7,0.0,-,-,-
