"ID","class","prob1","prob2","prob3","prob4"
27191,1,0.996793678221069,0.000342706281986616,1.13367640102451e-11,0.00286361548560777
27201,1,0.994586380292771,0.000129308154951797,6.32825440418747e-12,0.00528431154594943
27211,4,0.0160775312702442,0.0198743627018202,0.000223759519775324,0.96382434650816
27221,1,0.766246997645506,0.0477320242621512,8.1233788717045e-07,0.186020165754456
27231,4,0.0175810082966406,0.437216558911149,0.000337307615624285,0.544865125176586
27241,4,0.0165960643623244,0.0767584816954045,0.00125132851188964,0.905394125430381
27251,2,6.20187244116588e-05,0.8605693997176,0.127408790288466,0.0119597912695218
27261,4,0.00945064105118856,0.00895516383807218,0.000182515191067583,0.981411679919672
27271,4,0.000591401616146372,0.309022997105475,0.0391615596567286,0.65122404162165
27281,4,0.00274961184305026,0.0296502255461265,0.000206165139578461,0.967393997471245
27291,2,0.0168902701378683,0.88453612843602,0.000105608781822304,0.0984679926442891
27301,3,1.04633896704411e-10,0.00237984656840688,0.997551450894155,6.87024328042921e-05
27311,1,0.793165740188205,0.023132599728799,1.78465741744667e-07,0.183701481617255
27312,1,0.847952493675237,0.00797831729381727,2.72806070453904e-08,0.144069161750339
27321,4,0.0296026700676883,0.46422656192947,0.000626878734822473,0.505543889268019
27331,4,0.115358280055711,0.00121199237801283,7.82663025523609e-08,0.883429649299974
27341,4,0.0521272862058948,0.00866474095367835,2.14320454699373e-06,0.93920582963588
27351,2,0.0286741578161752,0.552516710174244,0.000221151639667598,0.418587980369913
27371,2,0.00884218549394172,0.772055837428739,0.00626590601480363,0.212836071062515
27381,4,0.117185480244411,0.0281543877049412,1.93093356725132e-05,0.854640822714975
27391,2,0.334940766372665,0.629159456954572,2.62149954685337e-06,0.0358971551732155
27401,1,0.999245366620824,4.17743343437023e-06,1.57223919553814e-14,0.000750455945725836
27411,4,0.023400408519045,0.389824666218777,0.000214743574217535,0.58656018168796
27421,2,0.0172142877526207,0.600952034261423,0.0031091358863047,0.378724542099652
27431,4,0.0531564098129424,0.0163087893456182,4.77353618375467e-06,0.930530027305256
27451,4,0.0249711606613614,0.209369993910996,0.000118541780870979,0.765540303646772
27461,1,0.369110269348016,0.33855660477244,0.000184279484610996,0.292148846394933
27471,4,0.271841444867473,0.0275834300017584,6.41357142210427e-06,0.700568711559346
27481,4,0.0289537742487436,0.133409378184322,8.24141671315496e-05,0.837554433399803
27491,2,5.22032607835053e-06,0.755506697927818,0.238657178323,0.00583090342310384
27501,2,0.0714337523165296,0.492128953732111,0.000958391700280542,0.435478902251079
27511,2,0.104461253365265,0.606230329384081,3.84862829175776e-05,0.289269930967736
27521,3,1.0910836284653e-07,0.42072344319506,0.578494223245749,0.000782224450828369
27531,1,0.703785502879084,0.000256910185411586,1.02900097889971e-09,0.295957585906503
