Unnamed: 0,한국아동·청소년패널조사 2018 중등용 코드북,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,
,문항,,,변수명,값,값설명
,,,,,,
,-,,,ID,-,종단자료 연계를 위한 고유 ID
,,,,HID,-,가구 ID
,,,,PID,-,개인 ID
,,,,,4,매우 그렇다
,,스마트폰 사용에 많은 시간을 보내는 것이 습관화되었다,,YMDA1C14,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰 사용에 많은 시간을 보내지 않는다,,YMDA1C15,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오.",지난 1년간 참여 횟수,문화/예술 관련 활동(공연 감상 등),YACT1A01,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"과학/정보 관련 활동(경진 대회, 과학 실험 등)",YACT1A02,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"모험/개척 관련 활동(탐사·등반, 야영 등)",YACT1A03,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"자원봉사활동(일손 돕기, 자선·구호 등)",YACT1A04,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"직업/진로 관련 활동(직업 체험, 진로 탐색 등)",YACT1A05,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,국제 교류 활동,YACT1A06,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"건강/보건 관련 활동(신체단련, 안전·응급처치 등)",YACT1A07,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"자기(인성)계발 관련 활동(자기표현, 마음 수련 등)",YACT1A08,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,,"환경 보존 관련 활동(생태·숲 체험, 환경 살리기 등)",YACT1A09,1,없다
,,,,,2,1~2회
,,,,,3,3~4회
,,,,,4,5회 이상
,,(참여한 적이 있다면) 만족도,문화/예술 관련 활동(공연 감상 등),YACT1B01,1,전혀 만족하지 않는다
,,,,,2,만족하지 않는 편이다
,,,,,3,만족하는 편이다
,,,,,4,매우 만족한다
