var,label,n_waves,waves
YDLQ2A10w2,,1,Y2
YDLQ2A10w3,,1,Y3
YDLQ2A10w4,,1,Y4
YDLQ2A10w5,,1,Y5
YDLQ2A10w6,,1,Y6
YDLQ2A10w7,,1,Y7
YDLQ2A11w1,,1,Y1
YDLQ2A11w2,,1,Y2
YDLQ2A11w3,,1,Y3
YDLQ2A11w4,,1,Y4
YDLQ2A11w5,,1,Y5
YDLQ2A11w6,,1,Y6
YDLQ2A11w7,,1,Y7
YDLQ2A12w1,,1,Y1
YDLQ2A12w2,,1,Y2
YDLQ2A12w3,,1,Y3
YDLQ2A12w4,,1,Y4
YDLQ2A12w5,,1,Y5
YDLQ2A12w6,,1,Y6
YDLQ2A12w7,,1,Y7
YDLQ2A13w1,,1,Y1
YDLQ2A13w2,,1,Y2
YDLQ2A13w3,,1,Y3
YDLQ2A13w4,,1,Y4
YDLQ2A13w5,,1,Y5
YDLQ2A13w6,,1,Y6
YDLQ2A13w7,,1,Y7
YDLQ2A14w1,,1,Y1
YDLQ2A14w2,,1,Y2
YDLQ2A14w3,,1,Y3
YDLQ2A14w4,,1,Y4
YDLQ2A14w5,,1,Y5
YDLQ2A14w6,,1,Y6
YDLQ2A14w7,,1,Y7
YDLQ2A15w1,,1,Y1
YDLQ2A15w2,,1,Y2
YDLQ2A15w3,,1,Y3
YDLQ2A15w4,,1,Y4
YDLQ2A15w5,,1,Y5
YDLQ2A15w6,,1,Y6
YDLQ2A15w7,,1,Y7
YEDU1A00w1,,1,Y1
YEDU1A00w2,,1,Y2
YEDU1A00w3,,1,Y3
YEDU1A00w4,,1,Y4
YEDU1A00w5,,1,Y5
YEDU1A00w6,,1,Y6
YEDU1A00w7,,1,Y7
YEDU1A01w3,,1,Y3
YEDU1A02w3,,1,Y3
YEDU1B01w4,,1,Y4
YEDU1B02w4,,1,Y4
YEDU1C01w4,,1,Y4
YEDU1C02w4,,1,Y4
YEDU2A01w1,,1,Y1
YEDU2A01w2,,1,Y2
YEDU2A01w3,,1,Y3
YEDU2A01w4,,1,Y4
YEDU2A01w5,,1,Y5
YEDU2A01w6,,1,Y6
YEDU2A01w7,,1,Y7
YEDU2A02w1,,1,Y1
YEDU2A02w2,,1,Y2
YEDU2A02w3,,1,Y3
YEDU2A02w4,,1,Y4
YEDU2A02w5,,1,Y5
YEDU2A02w6,,1,Y6
YEDU2A02w7,,1,Y7
YEDU2A03w1,,1,Y1
YEDU2A03w2,,1,Y2
YEDU2A03w3,,1,Y3
YEDU2A03w4,,1,Y4
YEDU2A03w5,,1,Y5
YEDU2A03w6,,1,Y6
YEDU2A03w7,,1,Y7
YEDU2A04w1,,1,Y1
YEDU2A04w2,,1,Y2
YEDU2A04w3,,1,Y3
YEDU2A04w4,,1,Y4
YEDU2A04w5,,1,Y5
YEDU2A04w6,,1,Y6
YEDU2A04w7,,1,Y7
YEDU2A05w1,,1,Y1
YEDU2A05w2,,1,Y2
YEDU2A05w3,,1,Y3
YEDU2A05w4,,1,Y4
YEDU2A05w5,,1,Y5
YEDU2A05w6,,1,Y6
YEDU2A05w7,,1,Y7
YEDU2A06w1,,1,Y1
YEDU2A06w2,,1,Y2
YEDU2A06w3,,1,Y3
YEDU2A06w4,,1,Y4
YEDU2A06w5,,1,Y5
YEDU2A06w6,,1,Y6
YEDU2A06w7,,1,Y7
YEDU2A07w1,,1,Y1
YEDU2A07w2,,1,Y2
YEDU2A07w3,,1,Y3
YEDU2A07w4,,1,Y4
YEDU2A07w5,,1,Y5
YEDU2A07w6,,1,Y6
YEDU2A07w7,,1,Y7
YEDU2A08w1,,1,Y1
YEDU2A08w2,,1,Y2
YEDU2A08w3,,1,Y3
YEDU2A08w4,,1,Y4
YEDU2A08w5,,1,Y5
YEDU2A08w6,,1,Y6
YEDU2A08w7,,1,Y7
YEDU2A09w1,,1,Y1
YEDU2A09w2,,1,Y2
YEDU2A09w3,,1,Y3
YEDU2A09w4,,1,Y4
YEDU2A09w5,,1,Y5
YEDU2A09w6,,1,Y6
YEDU2A09w7,,1,Y7
YEDU2A10w1,,1,Y1
YEDU2A10w2,,1,Y2
YEDU2A10w3,,1,Y3
YEDU2A10w4,,1,Y4
YEDU2A10w5,,1,Y5
YEDU2A10w6,,1,Y6
YEDU2A10w7,,1,Y7
YEDU2A11w1,,1,Y1
YEDU2A11w2,,1,Y2
YEDU2A11w3,,1,Y3
YEDU2A11w4,,1,Y4
YEDU2A11w5,,1,Y5
YEDU2A11w6,,1,Y6
YEDU2A11w7,,1,Y7
