var,label,dtype,n_unique,n_missing
YMDA1C08w1,,float64,4,49
YMDA1C09w1,,float64,4,49
YMDA1C10w1,,float64,4,49
YMDA1C11w1,,float64,4,49
YMDA1C12w1,,float64,4,49
YMDA1C13w1,,float64,4,49
YMDA1C14w1,,float64,4,49
YMDA1C15w1,,float64,4,49
YACT1A01w1,,float64,4,0
YACT1A02w1,,float64,4,0
YACT1A03w1,,float64,4,0
YACT1A04w1,,float64,4,0
YACT1A05w1,,float64,4,0
YACT1A06w1,,float64,4,0
YACT1A07w1,,float64,4,0
YACT1A08w1,,float64,4,0
YACT1A09w1,,float64,4,0
YACT1B01w1,,float64,4,454
YACT1B02w1,,float64,4,1461
YACT1B03w1,,float64,4,1146
YACT1B04w1,,float64,4,783
YACT1B05w1,,float64,4,581
YACT1B06w1,,float64,4,2285
YACT1B07w1,,float64,4,1085
YACT1B08w1,,float64,4,1451
YACT1B09w1,,float64,4,1493
YACT2A01w1,,float64,4,0
YACT2A02w1,,float64,4,0
YACT2B01w1,,float64,4,911
YACT2B02w1,,float64,4,2073
YACT3A00w1,,float64,2,0
YACT3B01w1,,float64,6,1043
YACT3B02w1,,float64,6,1043
YACT3B03w1,,float64,6,1043
YACT3B04w1,,float64,6,1043
YACT3B05w1,,float64,6,1043
YACT3B06w1,,float64,6,1043
YACT3B07w1,,float64,6,1043
YACT3B08w1,,float64,6,1043
YACT3B09w1,,float64,6,1043
YEDU1A00w1,,float64,6,0
YEDU2A01w1,,float64,4,0
YEDU2A02w1,,float64,4,0
YEDU2A03w1,,float64,4,0
YEDU2A04w1,,float64,4,0
YEDU2A05w1,,float64,4,0
YEDU2A06w1,,float64,4,0
YEDU2A07w1,,float64,4,0
YEDU2A08w1,,float64,4,0
YEDU2A09w1,,float64,4,0
YEDU2A10w1,,float64,4,0
YEDU2A11w1,,float64,4,0
YEDU2A12w1,,float64,4,0
YEDU2A13w1,,float64,4,0
YEDU3A01w1,,float64,4,0
YEDU3A02w1,,float64,4,0
YEDU3A03w1,,float64,4,0
YEDU3A04w1,,float64,4,0
YEDU3A05w1,,float64,4,0
YEDU3A06w1,,float64,4,0
YEDU3A07w1,,float64,4,0
YEDU3A08w1,,float64,4,0
YEDU3A09w1,,float64,4,0
YEDU3A10w1,,float64,4,0
YEDU3A11w1,,float64,4,0
YEDU3A12w1,,float64,4,0
YEDU3A13w1,,float64,4,0
YEDU3A14w1,,float64,4,0
YFAM1A01w1,,float64,16,0
YFAM1A02w1,,float64,6,0
YFAM1A03w1,,float64,24,0
YFAM1A04w1,,float64,6,0
YFAM2A01w1,,float64,4,0
YFAM2A02w1,,float64,4,0
YFAM2A03w1,,float64,4,0
YFAM2A04w1,,float64,4,0
YFAM2B01w1,,float64,4,0
YFAM2B02w1,,float64,4,0
YFAM2B03w1,,float64,4,0
YFAM2B04w1,,float64,4,0
YFAM2C01w1,,float64,4,0
YFAM2C02w1,,float64,4,0
YFAM2C03w1,,float64,4,0
YFAM2C04w1,,float64,4,0
YFAM2D01w1,,float64,4,0
YFAM2D02w1,,float64,4,0
YFAM2D03w1,,float64,4,0
YFAM2D04w1,,float64,4,0
YFAM2E01w1,,float64,4,0
YFAM2E02w1,,float64,4,0
YFAM2E03w1,,float64,4,0
YFAM2E04w1,,float64,4,0
YFAM2F01w1,,float64,4,0
YFAM2F02w1,,float64,4,0
YFAM2F03w1,,float64,4,0
YFAM2F04w1,,float64,4,0
