0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,한국아동·청소년패널조사 2018 중등용 변수 레이아웃,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무,,,,,,
,,,,,,,,w1,w2,w3,w4,w5,w6,w7
,-,-,-,-,-,ID (종단자료 연계를 위한 고유 ID),ID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,가구 ID,HID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,개인 ID,PID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,학교코드,SCLID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,온라인 조사 여부,YONLINE,,,Y,,,,
,-,-,-,-,-,횡단면_원 가중치,WEIGHTA1,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,횡단면_표준화 가중치,WEIGHTA2,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,종단면_원 가중치,WEIGHTB1,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,종단면_표준화 가중치,WEIGHTB2,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계,SIBLING,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계_기타,SIBLING_T,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 형제자매 학년,SGRADE,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,조사 참여 여부_청소년,SURVEY1,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,조사 참여 여부_보호자,SURVEY2,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,코호트 구분,COHORT,Y,Y,Y,Y,Y,Y,Y
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 나에게 만족한다,YPSY3A01,문16-1,문16-1,문16-1,문17-1,문17-1,문17-1,문17-1
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,때때로 나는 내가 어디에도 소용없는 사람이라고 생각한다,YPSY3A02,문16-2,문16-2,문16-2,문17-2,문17-2,문17-2,문17-2
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 장점이 많다고 느낀다,YPSY3A03,문16-3,문16-3,문16-3,문17-3,문17-3,문17-3,문17-3
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 적어도 다른 사람만큼 가치 있는 사람이라고 느낀다,YPSY3A04,문16-4,문16-4,문16-4,문17-4,문17-4,문17-4,문17-4
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 자랑스러워할 만한 것이 별로 없다고 느낀다,YPSY3A05,문16-5,문16-5,문16-5,문17-5,문17-5,문17-5,문17-5
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,때때로 나는 내가 쓸모없는 존재로 느껴진다,YPSY3A06,문16-6,문16-6,문16-6,문17-6,문17-6,문17-6,문17-6
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 남들만큼의 일은 할 수 있다,YPSY3A07,문16-7,문16-7,문16-7,문17-7,문17-7,문17-7,문17-7
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 나를 좀 더 존중할 수 있었으면 좋겠다,YPSY3A08,문16-8,문16-8,문16-8,문17-8,문17-8,문17-8,문17-8
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 실패자라고 느끼는 경향이 있다,YPSY3A09,문16-9,문16-9,문16-9,문17-9,문17-9,문17-9,문17-9
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 나에 대해 긍정적인 태도를 지니고 있다,YPSY3A10,문16-10,문16-10,문16-10,문17-10,문17-10,문17-10,문17-10
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,칭찬을 받거나 벌을 받아도 금방 다시 주의가 산만해진다,YPSY4A01,문17-1,문17-1,문17-1,문18-1,문18-1,문18-1,문18-1
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,문제를 풀 때 문제를 끝까지 읽지 않는 편이다,YPSY4A02,문17-2,문17-2,문17-2,문18-2,문18-2,문18-2,문18-2
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,오랫동안 집중해야 하는 과제는 하고 싶지 않다,YPSY4A03,문17-3,문17-3,문17-3,문18-3,문18-3,문18-3,문18-3
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,연필이나 지우개 등 학용품을 잘 잃어버린다,YPSY4A04,문17-4,문17-4,문17-4,문18-4,문18-4,문18-4,문18-4
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,주의를 기울이지 않아서 실수를 하거나 사고를 낸다,YPSY4A05,문17-5,문17-5,문17-5,문18-5,문18-5,문18-5,문18-5
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,공부할 때 차분하게 앉아 있기 힘들다,YPSY4A06,문17-6,문17-6,문17-6,문18-6,문18-6,문18-6,문18-6
,[개인발달],[사회/정서/역량발달],[정서문제],[주의집중],-,글자를 잘 빠뜨리고 쓰는 편이다,YPSY4A07,문17-7,문17-7,문17-7,문18-7,문18-7,문18-7,문18-7
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,작은 일에도 트집을 잡을 때가 있다,YPSY4B01,문17-8,문17-8,문17-8,문18-8,문18-8,문18-8,문18-8
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,남이 하는 일을 방해할 때가 있다,YPSY4B02,문17-9,문17-9,문17-9,문18-9,문18-9,문18-9,문18-9
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,내가 원하는 것을 못하게 하면 따지거나 덤빈다,YPSY4B03,문17-10,문17-10,문17-10,문18-10,문18-10,문18-10,문18-10
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,별 것 아닌 일로 싸우곤 한다,YPSY4B04,문17-11,문17-11,문17-11,문18-11,문18-11,문18-11,문18-11
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,하루 종일 화가 날 때가 있다,YPSY4B05,문17-12,문17-12,문17-12,문18-12,문18-12,문18-12,문18-12
,[개인발달],[사회/정서/역량발달],[정서문제],[공격성],-,아무 이유 없이 울 때가 있다,YPSY4B06,문17-13,문17-13,문17-13,문18-13,문18-13,문18-13,문18-13
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,깊이 잠들지 못하고 자다가 잠에서 깨곤 한다,YPSY4C01,문17-14,문17-14,문17-14,문18-14,문18-14,문18-14,문18-14
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,머리가 자주 아프다,YPSY4C02,문17-15,문17-15,문17-15,문18-15,문18-15,문18-15,문18-15
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,속이 자주 메슥거린다,YPSY4C03,문17-16,문17-16,문17-16,문18-16,문18-16,문18-16,문18-16
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,공부를 하면 배가 아플 때가 있다,YPSY4C04,문17-17,문17-17,문17-17,문18-17,문18-17,문18-17,문18-17
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,입맛이 없을 때가 있다,YPSY4C05,문17-18,문17-18,문17-18,문18-18,문18-18,문18-18,문18-18
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,자주 피곤하다,YPSY4C06,문17-19,문17-19,문17-19,문18-19,문18-19,문18-19,문18-19
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,숨쉬기 어려울 때가 있다,YPSY4C07,문17-20,문17-20,문17-20,문18-20,문18-20,문18-20,문18-20
,[개인발달],[사회/정서/역량발달],[정서문제],[신체증상],-,자주 열이 나는 것처럼 느껴진다,YPSY4C08,문17-21,문17-21,문17-21,문18-21,문18-21,문18-21,문18-21
,[개인발달],[사회/정서/역량발달],[정서문제],[사회적 위축],-,주위에 사람들이 많으면 어색하다,YPSY4D01,문17-22,문17-22,문17-22,문18-22,문18-22,문18-22,문18-22
