0,1,2,3,4,5,6,7,8
,한국아동·청소년패널조사 2018 성인용 변수 레이아웃,,,,,,,
,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무
,[개인발달],[사회/정서/역량발달],[만족도],[삶의 만족도],-,나는 내 삶에 만족한다,YPSY1A03,문10-3
,[개인발달],[사회/정서/역량발달],[만족도],[삶의 만족도],-,지금까지 내 삶에서 내가 원하는 중요한 것들을 이루어 냈다,YPSY1A04,문10-4
,[개인발달],[사회/정서/역량발달],[만족도],[삶의 만족도],-,"만약 내 삶을 다시 살 수 있더라도, 나는 거의 아무것도 바꾸지 않을 것이다",YPSY1A05,문10-5
,[개인발달],[사회/정서/역량발달],[행복],[행복감],-,전반적으로 나는 …,YPSY2A01,문11a-1
,[개인발달],[사회/정서/역량발달],[행복],[행복감],-,다른 사람과 비교했을 때 나는 …,YPSY2A02,문11a-2
,[개인발달],[사회/정서/역량발달],[행복],[행복감],-,전반적으로 아주 행복한 사람들이 있다. 나는 …,YPSY2A03,문11b-1
,[개인발달],[사회/정서/역량발달],[행복],[행복감],-,전반적으로 아주 불행한 사람들이 있다. 나는 …,YPSY2A04,문11b-2
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 나에게 만족한다,YPSY3A01,문12-1
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,때때로 나는 내가 어디에도 소용없는 사람이라고 생각한다,YPSY3A02,문12-2
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 장점이 많다고 느낀다,YPSY3A03,문12-3
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 적어도 다른 사람만큼 가치 있는 사람이라고 느낀다,YPSY3A04,문12-4
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 내가 자랑스러워할 만한 것이 별로 없다고 느낀다,YPSY3A05,문12-5
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,때때로 나는 내가 쓸모없는 존재로 느껴진다,YPSY3A06,문12-6
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 남들만큼의 일은 할 수 있다,YPSY3A07,문12-7
,[개인발달],[사회/정서/역량발달],[자아인식],[자아존중감],-,나는 나를 좀 더 존중할 수 있었으면 좋겠다,YPSY3A08,문12-8
